date,sentiment
15-12-2012,60
16-12-2012,12
17-12-2012,201
18-12-2012,203
19-12-2012,189
20-12-2012,78
21-12-2012,76
22-12-2012,71
23-12-2012,68
24-12-2012,172
25-12-2012,133
26-12-2012,375
27-12-2012,226
28-12-2012,206
29-12-2012,-14
30-12-2012,51
31-12-2012,7
1-1-2013,23
2-1-2013,225
3-1-2013,220
4-1-2013,32
5-1-2013,109
6-1-2013,3
7-1-2013,186
8-1-2013,31
9-1-2013,152
10-1-2013,140
11-1-2013,149
12-1-2013,119
13-1-2013,27
14-1-2013,177
15-1-2013,246
16-1-2013,128
17-1-2013,372
18-1-2013,339
19-1-2013,172
20-1-2013,21
21-1-2013,213
22-1-2013,407
23-1-2013,86
24-1-2013,223
25-1-2013,397
26-1-2013,123
27-1-2013,-19
28-1-2013,357
29-1-2013,190
30-1-2013,111
31-1-2013,20
1-2-2013,221
2-2-2013,49
3-2-2013,184
4-2-2013,76
5-2-2013,27
6-2-2013,178
7-2-2013,180
8-2-2013,79
9-2-2013,-13
10-2-2013,37
11-2-2013,37
12-2-2013,115
13-2-2013,245
14-2-2013,176
15-2-2013,202
16-2-2013,59
17-2-2013,183
18-2-2013,246
19-2-2013,281
20-2-2013,306
21-2-2013,141
22-2-2013,198
23-2-2013,96
24-2-2013,-17
25-2-2013,40
26-2-2013,150
27-2-2013,303
28-2-2013,317
1-3-2013,304
2-3-2013,-18
3-3-2013,170
4-3-2013,255
5-3-2013,183
6-3-2013,296
7-3-2013,363
8-3-2013,336
9-3-2013,161
10-3-2013,137
11-3-2013,238
12-3-2013,79
13-3-2013,182
14-3-2013,325
15-3-2013,352
16-3-2013,61
17-3-2013,44
18-3-2013,77
19-3-2013,-199
20-3-2013,-250
21-3-2013,-197
22-3-2013,-533
23-3-2013,-64
24-3-2013,-607
25-3-2013,-119
26-3-2013,93
27-3-2013,202
28-3-2013,38
29-3-2013,143
30-3-2013,17
31-3-2013,-33
1-4-2013,-64
2-4-2013,-43
3-4-2013,-285
4-4-2013,-302
5-4-2013,-398
6-4-2013,-58
7-4-2013,-54
8-4-2013,-69
9-4-2013,-237
10-4-2013,-115
11-4-2013,29
12-4-2013,118
13-4-2013,-167
14-4-2013,43
15-4-2013,-135
16-4-2013,-76
17-4-2013,-138
18-4-2013,-49
19-4-2013,313
20-4-2013,-63
21-4-2013,22
22-4-2013,82
23-4-2013,162
24-4-2013,250
25-4-2013,164
26-4-2013,282
27-4-2013,-1
28-4-2013,21
29-4-2013,20
30-4-2013,221
1-5-2013,79
2-5-2013,57
3-5-2013,-44
4-5-2013,100
5-5-2013,88
6-5-2013,57
7-5-2013,146
8-5-2013,209
9-5-2013,263
10-5-2013,333
11-5-2013,45
12-5-2013,26
13-5-2013,253
14-5-2013,360
15-5-2013,307
16-5-2013,157
17-5-2013,144
18-5-2013,85
19-5-2013,133
20-5-2013,341
21-5-2013,324
22-5-2013,7
23-5-2013,-187
24-5-2013,-68
25-5-2013,68
26-5-2013,15
27-5-2013,-34
28-5-2013,187
29-5-2013,93
30-5-2013,-88
31-5-2013,42
1-6-2013,75
2-6-2013,67
3-6-2013,-315
4-6-2013,-17
5-6-2013,-303
6-6-2013,-573
7-6-2013,-157
8-6-2013,89
9-6-2013,-76
10-6-2013,62
11-6-2013,-640
12-6-2013,-436
13-6-2013,-449
14-6-2013,-220
15-6-2013,-122
16-6-2013,-73
17-6-2013,159
18-6-2013,-28
19-6-2013,-186
20-6-2013,-701
21-6-2013,-507
22-6-2013,63
23-6-2013,-87
24-6-2013,-456
25-6-2013,-534
26-6-2013,-12
27-6-2013,83
28-6-2013,-27
29-6-2013,-28
30-6-2013,56
1-7-2013,-109
2-7-2013,-39
3-7-2013,-84
4-7-2013,4
5-7-2013,16
6-7-2013,-127
7-7-2013,27
8-7-2013,-208
9-7-2013,-45
10-7-2013,-50
11-7-2013,-50
12-7-2013,93
13-7-2013,117
14-7-2013,65
15-7-2013,151
16-7-2013,140
17-7-2013,24
18-7-2013,238
19-7-2013,355
20-7-2013,117
21-7-2013,62
22-7-2013,-16
23-7-2013,251
24-7-2013,51
25-7-2013,90
26-7-2013,128
27-7-2013,-71
28-7-2013,47
29-7-2013,263
30-7-2013,24
31-7-2013,-222
1-8-2013,13
2-8-2013,-134
3-8-2013,-85
4-8-2013,-55
5-8-2013,27
6-8-2013,60
7-8-2013,51
8-8-2013,199
9-8-2013,392
10-8-2013,72
11-8-2013,71
12-8-2013,42
13-8-2013,164
14-8-2013,170
15-8-2013,409
16-8-2013,249
17-8-2013,-23
18-8-2013,73
19-8-2013,-19
20-8-2013,-319
21-8-2013,-354
22-8-2013,-308
23-8-2013,-160
24-8-2013,-156
25-8-2013,-95
26-8-2013,-19
27-8-2013,-654
28-8-2013,-459
29-8-2013,36
30-8-2013,36
31-8-2013,-165
1-9-2013,-40
2-9-2013,94
3-9-2013,101
4-9-2013,-32
5-9-2013,17
6-9-2013,89
7-9-2013,-35
8-9-2013,-97
9-9-2013,157
10-9-2013,-247
11-9-2013,0
12-9-2013,9
13-9-2013,79
14-9-2013,32
15-9-2013,53
16-9-2013,53
17-9-2013,72
18-9-2013,147
19-9-2013,194
20-9-2013,110
21-9-2013,-26
22-9-2013,-23
23-9-2013,-145
24-9-2013,-319
25-9-2013,109
26-9-2013,66
27-9-2013,-129
28-9-2013,2
29-9-2013,-98
30-9-2013,-55
1-10-2013,38
2-10-2013,6
3-10-2013,34
4-10-2013,115
5-10-2013,57
6-10-2013,35
7-10-2013,-78
8-10-2013,20
9-10-2013,228
10-10-2013,82
11-10-2013,266
12-10-2013,-7
13-10-2013,-6
14-10-2013,156
15-10-2013,293
16-10-2013,21
17-10-2013,214
18-10-2013,296
19-10-2013,22
20-10-2013,16
21-10-2013,110
22-10-2013,81
23-10-2013,-20
24-10-2013,196
25-10-2013,210
26-10-2013,-19
27-10-2013,36
28-10-2013,99
29-10-2013,206
30-10-2013,-6
31-10-2013,241
1-11-2013,-42
2-11-2013,-136
3-11-2013,-43
4-11-2013,-250
5-11-2013,18
6-11-2013,39
7-11-2013,161
8-11-2013,55
9-11-2013,-150
10-11-2013,-96
11-11-2013,-4
12-11-2013,145
13-11-2013,208
14-11-2013,327
15-11-2013,438
16-11-2013,65
17-11-2013,55
18-11-2013,323
19-11-2013,92
20-11-2013,-233
21-11-2013,-355
22-11-2013,-289
23-11-2013,-62
24-11-2013,-97
25-11-2013,-139
26-11-2013,10
27-11-2013,-61
28-11-2013,8
29-11-2013,74
30-11-2013,-56
1-12-2013,-101
2-12-2013,-37
3-12-2013,-30
4-12-2013,156
5-12-2013,-49
6-12-2013,62
7-12-2013,-101
8-12-2013,-102
9-12-2013,27
10-12-2013,-92
11-12-2013,-41
12-12-2013,-120
13-12-2013,-153
14-12-2013,-39
15-12-2013,-13
16-12-2013,-85
17-12-2013,203
18-12-2013,170
19-12-2013,156
20-12-2013,-31
21-12-2013,-66
22-12-2013,61
23-12-2013,-114
24-12-2013,-17
25-12-2013,143
26-12-2013,-91
27-12-2013,-146
28-12-2013,-38
29-12-2013,-12
30-12-2013,-91
31-12-2013,-38
1-1-2014,33
2-1-2014,-290
3-1-2014,-271
4-1-2014,6
5-1-2014,-8
6-1-2014,-50
7-1-2014,135
8-1-2014,120
9-1-2014,-42
10-1-2014,-14
11-1-2014,65
12-1-2014,-49
13-1-2014,-60
14-1-2014,29
15-1-2014,165
16-1-2014,233
17-1-2014,-41
18-1-2014,-37
19-1-2014,17
20-1-2014,-19
21-1-2014,-7
22-1-2014,54
23-1-2014,27
24-1-2014,20
25-1-2014,-78
26-1-2014,-33
27-1-2014,-142
28-1-2014,-94
29-1-2014,-52
30-1-2014,-31
31-1-2014,-132
1-2-2014,-15
2-2-2014,30
3-2-2014,0
4-2-2014,145
5-2-2014,71
6-2-2014,130
7-2-2014,51
8-2-2014,12
9-2-2014,8
10-2-2014,198
11-2-2014,146
12-2-2014,189
13-2-2014,188
14-2-2014,-26
15-2-2014,84
16-2-2014,-39
17-2-2014,128
18-2-2014,105
19-2-2014,-20
20-2-2014,-3
21-2-2014,-10
22-2-2014,-24
23-2-2014,-55
24-2-2014,3
25-2-2014,155
26-2-2014,244
27-2-2014,139
28-2-2014,182
1-3-2014,-26
2-3-2014,64
3-3-2014,72
4-3-2014,161
5-3-2014,281
6-3-2014,168
7-3-2014,227
8-3-2014,-74
9-3-2014,42
10-3-2014,-37
11-3-2014,103
12-3-2014,62
13-3-2014,195
14-3-2014,64
15-3-2014,17
16-3-2014,-49
17-3-2014,14
18-3-2014,188
19-3-2014,16
20-3-2014,-62
21-3-2014,103
22-3-2014,16
23-3-2014,19
24-3-2014,-27
25-3-2014,-59
26-3-2014,70
27-3-2014,-53
28-3-2014,61
29-3-2014,30
30-3-2014,-18
31-3-2014,170
1-4-2014,123
2-4-2014,172
3-4-2014,180
4-4-2014,1
5-4-2014,66
6-4-2014,-123
7-4-2014,13
8-4-2014,105
9-4-2014,135
10-4-2014,194
11-4-2014,37
12-4-2014,-29
13-4-2014,32
14-4-2014,-10
15-4-2014,-32
16-4-2014,-2
17-4-2014,118
18-4-2014,125
19-4-2014,58
20-4-2014,-7
21-4-2014,9
22-4-2014,38
23-4-2014,59
24-4-2014,308
25-4-2014,52
26-4-2014,-76
27-4-2014,13
28-4-2014,83
29-4-2014,141
30-4-2014,179
1-5-2014,-74
2-5-2014,212
3-5-2014,26
4-5-2014,-12
5-5-2014,-49
6-5-2014,126
7-5-2014,17
8-5-2014,-162
9-5-2014,-33
10-5-2014,-129
11-5-2014,-53
12-5-2014,-15
13-5-2014,-61
14-5-2014,358
15-5-2014,191
16-5-2014,103
17-5-2014,-41
18-5-2014,99
19-5-2014,15
20-5-2014,-119
21-5-2014,-10
22-5-2014,15
23-5-2014,-112
24-5-2014,-37
25-5-2014,26
26-5-2014,29
27-5-2014,107
28-5-2014,136
29-5-2014,95
30-5-2014,132
31-5-2014,-45
1-6-2014,86
2-6-2014,25
3-6-2014,123
4-6-2014,70
5-6-2014,193
6-6-2014,298
7-6-2014,50
8-6-2014,106
9-6-2014,50
10-6-2014,199
11-6-2014,23
12-6-2014,-8
13-6-2014,-73
14-6-2014,-1
15-6-2014,42
16-6-2014,-46
17-6-2014,54
18-6-2014,112
19-6-2014,103
20-6-2014,228
21-6-2014,-27
22-6-2014,-15
23-6-2014,147
24-6-2014,140
25-6-2014,113
26-6-2014,167
27-6-2014,164
28-6-2014,15
29-6-2014,70
30-6-2014,159
1-7-2014,130
2-7-2014,181
3-7-2014,151
4-7-2014,229
5-7-2014,77
6-7-2014,105
7-7-2014,74
8-7-2014,183
9-7-2014,221
10-7-2014,33
11-7-2014,3
12-7-2014,110
13-7-2014,48
14-7-2014,192
15-7-2014,205
16-7-2014,268
17-7-2014,249
18-7-2014,123
19-7-2014,-14
20-7-2014,106
21-7-2014,90
22-7-2014,122
23-7-2014,67
24-7-2014,248
25-7-2014,112
26-7-2014,13
27-7-2014,72
28-7-2014,190
29-7-2014,-14
30-7-2014,-60
31-7-2014,-62
1-8-2014,35
2-8-2014,33
3-8-2014,46
4-8-2014,88
5-8-2014,215
6-8-2014,103
7-8-2014,135
8-8-2014,112
9-8-2014,-21
10-8-2014,75
11-8-2014,45
12-8-2014,47
13-8-2014,191
14-8-2014,665
15-8-2014,473
16-8-2014,24
17-8-2014,66
18-8-2014,272
19-8-2014,405
20-8-2014,204
21-8-2014,320
22-8-2014,258
23-8-2014,26
24-8-2014,78
25-8-2014,59
26-8-2014,273
27-8-2014,164
28-8-2014,199
29-8-2014,55
30-8-2014,34
31-8-2014,-18
1-9-2014,223
2-9-2014,130
3-9-2014,405
4-9-2014,219
5-9-2014,255
6-9-2014,10
7-9-2014,88
8-9-2014,57
9-9-2014,139
10-9-2014,139
11-9-2014,328
12-9-2014,90
13-9-2014,18
14-9-2014,107
15-9-2014,74
16-9-2014,15
17-9-2014,-55
18-9-2014,248
19-9-2014,255
20-9-2014,-25
21-9-2014,134
22-9-2014,60
23-9-2014,79
24-9-2014,210
25-9-2014,-1
26-9-2014,0
27-9-2014,96
28-9-2014,89
29-9-2014,69
30-9-2014,45
1-10-2014,109
2-10-2014,-90
3-10-2014,-11
4-10-2014,-43
5-10-2014,36
6-10-2014,-157
7-10-2014,45
8-10-2014,-55
9-10-2014,219
10-10-2014,42
11-10-2014,-70
12-10-2014,-28
13-10-2014,-111
14-10-2014,67
15-10-2014,-5
16-10-2014,-171
17-10-2014,-53
18-10-2014,-75
19-10-2014,101
20-10-2014,180
21-10-2014,120
22-10-2014,199
23-10-2014,65
24-10-2014,239
25-10-2014,31
26-10-2014,120
27-10-2014,100
28-10-2014,270
29-10-2014,241
30-10-2014,221
31-10-2014,113
1-11-2014,79
2-11-2014,108
3-11-2014,224
4-11-2014,155
5-11-2014,91
6-11-2014,283
7-11-2014,329
8-11-2014,30
9-11-2014,51
10-11-2014,83
11-11-2014,93
12-11-2014,335
13-11-2014,288
14-11-2014,352
15-11-2014,70
16-11-2014,88
17-11-2014,17
18-11-2014,244
19-11-2014,161
20-11-2014,94
21-11-2014,120
22-11-2014,-77
23-11-2014,35
24-11-2014,144
25-11-2014,221
26-11-2014,263
27-11-2014,75
28-11-2014,96
29-11-2014,64
30-11-2014,51
1-12-2014,89
2-12-2014,23
3-12-2014,47
4-12-2014,250
5-12-2014,-56
6-12-2014,29
7-12-2014,60
8-12-2014,0
9-12-2014,-146
10-12-2014,-40
11-12-2014,-359
12-12-2014,-144
13-12-2014,15
14-12-2014,-102
15-12-2014,-433
16-12-2014,-285
17-12-2014,-56
18-12-2014,-140
19-12-2014,81
20-12-2014,51
21-12-2014,-57
22-12-2014,205
23-12-2014,-38
24-12-2014,32
25-12-2014,103
26-12-2014,65
27-12-2014,32
28-12-2014,-44
29-12-2014,-32
30-12-2014,-10
31-12-2014,-17
1-1-2015,8
2-1-2015,-63
3-1-2015,-1
4-1-2015,31
5-1-2015,32
6-1-2015,24
7-1-2015,-6
8-1-2015,221
9-1-2015,105
10-1-2015,-35
11-1-2015,98
12-1-2015,76
13-1-2015,39
14-1-2015,-113
15-1-2015,77
16-1-2015,70
17-1-2015,-19
18-1-2015,10
19-1-2015,203
20-1-2015,266
21-1-2015,112
22-1-2015,98
23-1-2015,141
24-1-2015,76
25-1-2015,56
26-1-2015,169
27-1-2015,96
28-1-2015,95
29-1-2015,153
30-1-2015,53
31-1-2015,45
1-2-2015,90
2-2-2015,211
3-2-2015,87
4-2-2015,179
5-2-2015,143
6-2-2015,64
7-2-2015,-37
8-2-2015,96
9-2-2015,15
10-2-2015,144
11-2-2015,90
12-2-2015,102
13-2-2015,129
14-2-2015,-14
15-2-2015,-24
16-2-2015,95
17-2-2015,51
18-2-2015,5
19-2-2015,143
20-2-2015,153
21-2-2015,34
22-2-2015,-43
23-2-2015,145
24-2-2015,106
25-2-2015,41
26-2-2015,248
27-2-2015,204
28-2-2015,107
1-3-2015,-9
2-3-2015,33
3-3-2015,142
4-3-2015,-14
5-3-2015,-126
6-3-2015,-33
7-3-2015,-24
8-3-2015,-11
9-3-2015,8
10-3-2015,-103
11-3-2015,-17
12-3-2015,-65
13-3-2015,90
14-3-2015,-55
15-3-2015,-29
16-3-2015,-212
17-3-2015,-236
18-3-2015,-2
19-3-2015,-64
20-3-2015,-43
21-3-2015,95
22-3-2015,-49
23-3-2015,-79
24-3-2015,-131
25-3-2015,25
26-3-2015,-165
27-3-2015,-117
28-3-2015,95
29-3-2015,-45
30-3-2015,9
31-3-2015,-64
1-4-2015,33
2-4-2015,90
3-4-2015,117
4-4-2015,-63
5-4-2015,-27
6-4-2015,-20
7-4-2015,-9
8-4-2015,35
9-4-2015,31
10-4-2015,49
11-4-2015,24
12-4-2015,-23
13-4-2015,-37
14-4-2015,-75
15-4-2015,41
16-4-2015,47
17-4-2015,34
18-4-2015,-75
19-4-2015,-13
20-4-2015,10
21-4-2015,-2
22-4-2015,49
23-4-2015,3
24-4-2015,27
25-4-2015,-14
26-4-2015,42
27-4-2015,-7
28-4-2015,-110
29-4-2015,-51
30-4-2015,43
1-5-2015,-125
2-5-2015,-44
3-5-2015,11
4-5-2015,-188
5-5-2015,-61
6-5-2015,-136
7-5-2015,-207
8-5-2015,-101
9-5-2015,-12
10-5-2015,-3
11-5-2015,25
12-5-2015,5
13-5-2015,82
14-5-2015,115
15-5-2015,136
16-5-2015,34
17-5-2015,35
18-5-2015,43
19-5-2015,173
20-5-2015,81
21-5-2015,-73
22-5-2015,-102
23-5-2015,32
24-5-2015,-58
25-5-2015,-61
26-5-2015,-129
27-5-2015,-156
28-5-2015,-66
29-5-2015,-80
30-5-2015,6
31-5-2015,43
1-6-2015,37
2-6-2015,-87
3-6-2015,44
4-6-2015,58
5-6-2015,69
6-6-2015,-26
7-6-2015,22
8-6-2015,87
9-6-2015,3
10-6-2015,52
11-6-2015,-40
12-6-2015,70
13-6-2015,27
14-6-2015,-9
15-6-2015,-60
16-6-2015,-143
17-6-2015,31
18-6-2015,0
19-6-2015,-25
20-6-2015,-125
21-6-2015,-39
22-6-2015,5
23-6-2015,173
24-6-2015,134
25-6-2015,69
26-6-2015,108
27-6-2015,-117
28-6-2015,-153
29-6-2015,-78
30-6-2015,-39
1-7-2015,-79
2-7-2015,-58
3-7-2015,-23
4-7-2015,-119
5-7-2015,-55
6-7-2015,-232
7-7-2015,-104
8-7-2015,-93
9-7-2015,-92
10-7-2015,7
11-7-2015,22
12-7-2015,-99
13-7-2015,53
14-7-2015,116
15-7-2015,1
16-7-2015,58
17-7-2015,64
18-7-2015,-109
19-7-2015,5
20-7-2015,-140
21-7-2015,-184
22-7-2015,62
23-7-2015,41
24-7-2015,-62
25-7-2015,-154
26-7-2015,-59
27-7-2015,-180
28-7-2015,-179
29-7-2015,-150
30-7-2015,-107
